programa,-1,-1,1
hipotenusa@,-55,-2,1
;,-75,-1,1
variables,-15,-1,2
real,-12,-1,3
radio%,-52,-2,3
,,-76,-1,3
radiocuadrado%,-52,-2,3
;,-75,-1,3
real,-12,-1,4
pi%,-52,-2,4
;,-75,-1,4
real,-12,-1,5
area%,-52,-2,5
;,-75,-1,5
logico,-14,-1,6
cumple#,-54,-2,6
;,-75,-1,6
inicio,-2,-1,7
repetir,-9,-1,8
(,-73,-1,8
5,-61,-1,8
),-74,-1,8
radio%,-52,-2,9
=,-26,-1,9
leer,-4,-1,9
(,-73,-1,9
),-74,-1,9
;,-75,-1,9
si,-6,-1,10
(,-73,-1,10
radio%,-52,-2,10
>,-33,-1,10
0,-61,-1,10
),-74,-1,10
entonces,-16,-1,10
inicio,-2,-1,11
radiocuadrado%,-52,-2,12
=,-26,-1,12
(,-73,-1,12
radio%,-52,-2,12
*,-21,-1,12
radio%,-52,-2,12
),-74,-1,12
;,-75,-1,12
area%,-52,-2,13
=,-26,-1,13
pi%,-52,-2,13
*,-21,-1,13
radiocuadrado%,-52,-2,13
;,-75,-1,13
escribir,-5,-1,14
(,-73,-1,14
"Area: ",-63,-1,14
+,-24,-1,14
area%,-52,-2,14
),-74,-1,14
;,-75,-1,14
fin,-3,-1,15
sino,-7,-1,16
inicio,-2,-1,17
escribir,-5,-1,18
(,-73,-1,18
"Se esperaba un radio mayor a 0",-63,-1,18
),-74,-1,18
;,-75,-1,18
fin,-3,-1,19
mientras,-8,-1,20
(,-73,-1,20
cumple#,-54,-2,20
==,-35,-1,20
true,-64,-1,20
),-74,-1,20
hacer,-17,-1,20
inicio,-2,-1,21
escribir,-5,-1,22
(,-73,-1,22
"Hola",-63,-1,22
),-74,-1,22
;,-75,-1,22
cumple#,-54,-2,23
=,-26,-1,23
false,-65,-1,23
;,-75,-1,23
fin,-3,-1,24
fin,-3,-1,25
